WORD COUNT,WORD,TRANSLITERATION,TRANSLATION
145,Всички,Vsichki,
144,Както,Kakto,
144,Този,Tozi,
144,означава,oznachava,
143,своето,svoeto,
141,А,A,
140,момент,moment,
140,Въпреки,Vapreki,
140,сред,sred,
139,пример,primer,
139,7,7,
138,народ,narod,
138,помощ,pomosht,
138,прави,pravi,
138,майка,mayka,
138,ръководители,rakovoditeli,
138,брат,brat,
137,откровение,otkrovenie,
136,думи,dumi,
136,нея,neya,
136,там,tam,
136,дойде,doyde,
136,целия,tseliya,
135,получаваме,poluchavame,
134,пътя,patya,
134,истина,istina,
133,следваме,sledvame,
133,От,Ot,
132,знае,znae,
132,10,10,
131,Тази,Tazi,
131,На,Na,
130,история,istoriya,
129,стремим,stremim,
128,знаем,znaem,
128,Учение,Uchenie,
126,колко,kolko,
126,баща,bashta,
125,жертва,zhertva,
125,8,8,
125,11,11,
125,тогава,togava,
125,Своя,Svoya,
124,Може,Mozhe,
124,Единението,Edinenieto,
123,относно,otnosno,
123,9,9,
123,лично,lichno,
123,страна,strana,
123,ставаме,stavame,
123,имате,imate,
123,Възстановяването,Vazstanovyavaneto,
122,между,mezhdu,
122,Вие,Vie,
121,била,bila,
121,Сега,Sega,
121,духовни,duhovni,
121,истината,istinata,
121,въпроси,vaprosi,
121,защо,zashto,
120,значение,znachenie,
120,Божиите,Bozhiite,
120,промени,promeni,
120,Отца,Ottsa,
120,Израил,Izrail,
119,Какво,Kakvo,
119,Небесния,Nebesniya,
119,мисия,misiya,
119,Божии,Bozhii,
119,нещата,neshtata,
118,любовта,lyubovta,
118,сестра,sestra,
117,Бога,Boga,
117,Ето,Eto,
116,Божията,Bozhiyata,
116,заветната,zavetnata,
116,всяко,vsyako,
115,две,dve,
115,работа,rabota,
115,Един,Edin,
114,благословиите,blagosloviite,
114,добро,dobro,
114,тъй,tay,
113,края,kraya,
112,по-късно,po-kasno,
112,вечен,vechen,
111,година,godina,
110,цялото,tsyaloto,
110,12,12,
110,добре,dobre,
110,Можем,Mozhem,
110,Защото,Zashtoto,
110,старейшина,stareyshina,
110,говори,govori,
109,Как,Kak,
109,учим,uchim,
109,апостоли,apostoli,
109,желае,zhelae,
109,14,14,
108,голяма,golyama,
108,точно,tochno,
108,ученици,uchenitsi,
108,покажат,pokazhat,
108,нужда,nuzhda,
108,вашата,vashata,
107,спазваме,spazvame,
107,пророци,prorotsi,
107,Братя,Bratya,
107,семейства,semeystva,
107,храм,hram,
106,желание,zhelanie,
106,15,15,
106,13,13,
106,нека,neka,
105,сметка,smetka,
105,Преди,Predi,
105,вашите,vashite,
105,Моля,Molya,
105,радостта,radostta,
104,служим,sluzhim,
104,членовете,chlenovete,
104,мъж,mazh,
103,Своите,Svoite,
103,свидетелствам,svidetelstvam,
103,даде,dade,
103,млади,mladi,
103,техните,tehnite,
103,цялата,tsyalata,
102,промяна,promyana,
102,идва,idva,
102,знам,znam,
102,мисионери,misioneri,
102,става,stava,
101,Мои,Moi,
101,добри,dobri,
101,у,u,
101,жена,zhena,
100,то,to,so
100,принципи,printsipi,principles
100,въпреки,vapreki,although
100,вж,vzh,see
99,Единение,Edinenie,Union
99,16,16,16
99,Първото,Parvoto,First
99,глас,glas,voice
98,молим,molim,pray
98,сключените,sklyuchenite,concluded
98,Ме,Me,Me
97,Духа,Duha,Spirit
97,учения,ucheniya,teachings
97,служение,sluzhenie,ministry
97,Чрез,Chrez,By
96,обич,obich,affection
96,светии,svetii,saints
96,светлината,svetlinata,light
96,преживявания,prezhivyavaniya,experience
96,помагаме,pomagame,help
96,президентство,prezidentstvo,presidency
95,скъпи,skapi,dear
95,напълно,napalno,completely
95,направи,napravi,do
95,словата,slovata,the words
95,мога,moga,can
94,нищо,nishto,nothing
94,Мен,Men,Me
94,около,okolo,around
94,тук,tuk,here
94,Божие,Bozhie,God
93,духовна,duhovna,spiritual
93,истини,istini,truth
93,отговор,otgovor,response
93,различни,razlichni,different
93,член,chlen,member
93,послание,poslanie,message
93,покаяние,pokayanie,repentance
93,разбиране,razbirane,understanding
93,земния,zemniya,earthy
92,понякога,ponyakoga,sometimes
92,началото,nachaloto,start
92,Трябва,Tryabva,Must
92,такива,takiva,such
92,отношение,otnoshenie,attitude
92,смъртта,smartta,death
92,моята,moyata,mine
92,благодарност,blagodarnost,grateful
91,въпрос,vapros,question
91,20,20,20
91,кани,kani,invite
91,Господа,Gospoda,Gentlemen
90,благославя,blagoslavya,bless
90,споделя,spodelya,share
90,завет,zavet,covenant
90,младежи,mladezhi,youth
90,родители,roditeli,parents
89,свързани,svarzani,connected
89,възможно,vazmozhno,possibly
89,греховете,grehovete,sins
89,плана,plana,plan
88,заветите,zavetite,covenants
88,дойдат,doydat,come
88,наши,nashi,ours
88,причастието,prichastieto,communion
88,Затова,Zatova,Therefore
88,благословия,blagosloviya,blessing
88,Някои,Nyakoi,Some
87,включително,vklyuchitelno,including
87,Всеки,Vseki,Each
87,особено,osobeno,especially
87,спасение,spasenie,salvation
87,жените,zhenite,women's
86,ученията,ucheniyata,teachings
86,важни,vazhni,important
85,Божий,Bozhiy,God's
85,верни,verni,loyal
85,свидетелства,svidetelstva,evidence
85,заявява,zayavyava,states
85,делото,deloto,case
85,сили,sili,strength
85,Божието,Bozhieto,God's
84,някой,nyakoy,somebody
84,Моисей,Moisey,Moses
84,думите,dumite,the words
84,моменти,momenti,moments
84,правят,pravyat,do
84,18,18,18
84,обещание,obeshtanie,promise
84,трудно,trudno,hard
83,отговори,otgovori,replied
83,Много,Mnogo,Many
83,святото,svyatoto,holy
83,училище,uchilishte,school
83,слава,slava,glory
83,17,17,17
83,изпитания,izpitaniya,trial
82,младежите,mladezhite,youth
82,начини,nachini,ways
82,възможност,vazmozhnost,possibility
82,Сатана,Satana,Satan
82,против,protiv,against
82,способността,sposobnostta,capacity
81,случва,sluchva,happening
81,крайна,krayna,ultimate
81,служи,sluzhi,serve
81,достойни,dostoyni,worthy
81,ръка,raka,hand
81,Мене,Mene,Me
81,страни,strani,sides
81,вижда,vizhda,see
80,Една,Edna,One
80,същия,sashtiya,the same
79,чувства,chuvstva,feelings
79,обстоятелства,obstoyatelstva,circumstances
79,три,tri,three
79,получи,poluchi,obtained
79,отколкото,otkolkoto,than
79,събрания,sabraniya,meetings
79,времена,vremena,time
79,власт,vlast,power
78,вид,vid,appearance
78,познава,poznava,know
78,изучаване,izuchavane,study
78,Своята,Svoyata,Its
78,вършим,varshim,do
78,Петър,Petar,Peter
78,животът,zhivotat,life
78,избираме,izbirame,choose
78,сами,sami,alone
77,Тогава,Togava,Then
77,търсим,tarsim,seek
77,почти,pochti,almost
77,продължава,prodalzhava,continues
76,служат,sluzhat,serve
76,места,mesta,places
76,чувстваме,chuvstvame,we feel
76,трудностите,trudnostite,the difficulties
76,сигурност,sigurnost,security
76,вечността,vechnostta,eternity
76,иска,iska,want
76,църква,tsarkva,church
76,душата,dushata,the soul
76,влияние,vliyanie,influence
76,моя,moya,my
75,Небесният,Nebesniyat,Heavenly
75,бяхме,byahme,We were
75,важно,vazhno,important
75,Дори,Dori,Even
75,покана,pokana,invitation
75,ръцете,ratsete,arms
75,покайваме,pokayvame,repent
75,започва,zapochva,begins
74,земя,zemya,land
74,отговорност,otgovornost,responsibility
74,Скъпи,Skapi,Dear
74,състояние,sastoyanie,condition
74,Нашият,Nashiyat,Ours
74,дете,dete,kid
74,бъда,bada,be
74,Господната,Gospodnata,The Lord's
74,изисква,iziskva,requires
74,стане,stane,become
74,правите,pravite,you make
74,ясно,yasno,clearly
74,млад,mlad,young
73,под,pod,under
73,желанието,zhelanieto,desire
73,вечна,vechna,eternal
73,семействата,semeystvata,families
73,Изкупител,Izkupitel,Redemptive
73,идват,idvat,come
73,по-добри,po-dobri,better
73,служители,sluzhiteli,employees
73,основа,osnova,basis
73,изключително,izklyuchitelno,exclusively
72,Негови,Negovi,His
72,по-подобни,po-podobni,more like
72,последователи,posledovateli,followers
72,Господния,Gospodniya,Lord
72,живеят,zhiveyat,live
72,Има,Ima,Have
72,душите,dushite,the souls
72,неделя,nedelya,Sunday
72,дар,dar,gift
71,Неговият,Negoviyat,His
71,мои,moi,mine
71,независимо,nezavisimo,independently
71,чедата,chedata,children
71,дела,dela,deeds
71,вашето,vasheto,your
70,Павел,Pavel,Paul
70,начина,nachina,way
70,същност,sashtnost,nature
70,Ми,Mi,Me
70,При,Pri,At
70,друго,drugo,something else
70,достатъчно,dostatachno,enough
70,включва,vklyuchva,includes
70,Своето,Svoeto,Its
70,срещу,sreshtu,against
70,дванадесетте,dvanadesette,twelve
70,м,m,m
70,два,dva,two
70,Светият,Svetiyat,The holy
70,вместо,vmesto,instead
69,учение,uchenie,teaching
69,син,sin,son
69,твърде,tvarde,too
69,А.,A.,A.
69,страдания,stradaniya,suffering
69,грехове,grehove,sins
69,жив,zhiv,alive
69,словото,slovoto,word
68,Старейшина,Stareyshina,Elder
68,живее,zhivee,live
68,19,19,19
68,принцип,printsip,principle
68,Ти,Ti,You
68,Мороний,Moroniy,Moronius
68,преживяване,prezhivyavane,experience
68,младите,mladite,the young
67,благословени,blagosloveni,blessed
67,елате,elate,come
67,вашия,vashiya,your
67,любящ,lyubyasht,loving
67,съпругата,saprugata,wife
67,ума,uma,mind
67,станем,stanem,we become
67,двете,dvete,the two
67,виждаме,vizhdame,we see
67,дълбоко,dalboko,deeply
67,избор,izbor,choice
66,нови,novi,new
66,Йоан,Yoan,John
66,влиянието,vliyanieto,influence
66,моли,moli,Molly
66,ето,eto,here
66,воля,volya,will
66,Понякога,Ponyakoga,Sometimes
66,резултат,rezultat,result
66,волята,volyata,willpower
66,събирането,sabiraneto,gathering
66,изпълнени,izpalneni,implemented
66,връзка,vrazka,connection
66,малки,malki,small
66,Няма,Nyama,There is no
65,учат,uchat,teach
65,заповедите,zapovedite,orders
65,искрено,iskreno,sincerely
65,Така,Taka,So
65,приятел,priyatel,friend
65,свещени,sveshteni,sacred
65,ред,red,order
65,променя,promenya,alter
64,родителите,roditelite,the parents
64,разбира,razbira,understand
64,действия,deystviya,actions
64,внимание,vnimanie,attention
64,същото,sashtoto,the same
64,следното,slednoto,the following
64,храмове,hramove,temples
64,синове,sinove,sons
64,противника,protivnika,enemy
64,Младите,Mladite,The young
64,вечно,vechno,forever
64,пророка,proroka,prophet
63,взаимоотношения,vzaimootnosheniya,relationship
63,Също,Sashto,Also
63,То,To,So
63,друга,druga,other
63,лични,lichni,personal
63,откровения,otkroveniya,revelations
63,божествена,bozhestvena,divine
63,големи,golemi,large
63,дават,davat,give
63,възможности,vazmozhnosti,possibilities
63,завесата,zavesata,curtain
63,неговата,negovata,his
63,съпруга,sapruga,wife
63,продължение,prodalzhenie,sequel
62,по-добре,po-dobre,better
62,Следвайте,Sledvayte,Follow
62,спазват,spazvat,respected
62,Обаче,Obache,However
62,Първо,Parvo,First
62,роля,rolya,role
62,подобно,podobno,like
62,Р.,R.,R.
62,милост,milost,mercy
61,завинаги,zavinagi,forever
61,близки,blizki,close
61,къде,kade,where
61,Пророкът,Prorokat,Prophet
61,примера,primera,example
61,домовете,domovete,homes
61,всичките,vsichkite,all
61,месеца,mesetsa,months
61,помогне,pomogne,help
61,някога,nyakoga,sometime
61,брак,brak,marriage
61,храна,hrana,food
61,обещания,obeshtaniya,promises
61,свобода,svoboda,freedom
60,гласа,glasa,voice
60,носи,nosi,carries
60,намираме,namirame,we find
60,усилията,usiliyata,effort
60,голямо,golyamo,large
60,21,21,21
60,основата,osnovata,base
60,възможността,vazmozhnostta,possibility
60,историята,istoriyata,history
59,души,dushi,humans
59,важна,vazhna,important
59,момента,momenta,moment
59,пътуване,patuvane,trip
59,стана,stana,become
59,Днес,Dnes,Today
59,Тъй,Tay,As
59,Моята,Moyata,Mine
59,следните,slednite,the following
59,вечер,vecher,in the evening
59,Духът,Duhat,Spirit
59,обещава,obeshtava,promises
59,трудни,trudni,tough
58,грижи,grizhi,care
58,неговите,negovite,his
58,моите,moite,mine
58,Знам,Znam,Know
58,разбираме,razbirame,we understand
58,очите,ochite,eyes
58,подготвя,podgotvya,prepare
58,молитви,molitvi,prayers
58,стават,stavat,become
58,мисионерите,misionerite,missionaries
58,човешки,choveshki,human
58,Кворума,Kvoruma,Quorum
58,тяхната,tyahnata,their
58,моето,moeto,my
58,възстановеното,vazstanovenoto,restored
58,видение,videnie,vision
57,мнозина,mnozina,many
57,праведност,pravednost,righteousness
57,дъщеря,dashterya,daughter
57,утеха,uteha,consolation
57,увереност,uverenost,confidence
57,царство,tsarstvo,kingdom
57,Предложено,Predlozheno,Suggested
57,обредите,obredite,ordinance
57,отдаденост,otdadenost,dedication
57,дъщери,dashteri,daughters
57,позволява,pozvolyava,allows
56,сърца,sartsa,hearts
56,подготовка,podgotovka,preparation
56,Освен,Osven,Besides
56,хиляди,hilyadi,thousands
56,щати,shtati,state
55,онзи,onzi,that
55,Господен,Gospoden,Lord
55,чувствате,chuvstvate,you feel
55,епископ,episkop,bishop
55,района,rayona,region
55,Л.,L.,L.
55,общата,obshtata,common
55,дух,duh,spirit
55,продължаваме,prodalzhavame,continue
55,следва,sledva,followed
55,получим,poluchim,get
55,слова,slova,words
55,биват,bivat,are
55,обяснява,obyasnyava,explain
55,пришествие,prishestvie,coming
54,спасението,spasenieto,salvation
54,приемат,priemat,accepted
54,ръце,ratse,arms
54,пъти,pati,times
54,седмица,sedmitsa,week
54,дара,dara,gift
54,Поради,Poradi,Due to
54,божествено,bozhestveno,divinely
54,отговаря,otgovarya,in charge
54,благодат,blagodat,grace
54,колкото,kolkoto,as much as
54,кол,kol,stake
54,отвъд,otvad,beyond
54,опит,opit,attempt
54,подобни,podobni,similar
54,изцеление,iztselenie,healing
54,Без,Bez,Without
54,надделява,naddelyava,prevail
53,нужно,nuzhno,necessary
53,мисли,misli,think
53,процес,protses,process
53,по-малко,po-malko,less
53,споделяме,spodelyame,share
53,получава,poluchava,gets
53,изглежда,izglezhda,seems
53,описва,opisva,describes
53,подкрепим,podkrepim,supportive
53,смирено,smireno,humbly
53,тъкмо,takmo,just
53,22,22,22
53,23,23,23
53,Сион,Sion,Sion
53,събития,sabitiya,events
53,истински,istinski,real
52,апостол,apostol,apostle
52,следват,sledvat,followed
52,лесно,lesno,easily
52,състрадание,sastradanie,compassion
52,бих,bih,would
52,казал,kazal,said
52,чудеса,chudesa,wonders
52,първата,parvata,first
52,кои,koi,which
52,душа,dusha,soul
52,Лейк,Leyk,Lake
51,заповед,zapoved,order
51,действа,deystva,act
51,бива,biva,be
51,покаянието,pokayanieto,repentance
51,могли,mogli,could
51,бързо,barzo,quickly
51,говоря,govorya,speak
51,цели,tseli,goal
51,напътствия,napatstviya,guidance
51,наш,nash,ours
51,целта,tselta,purpose
51,Възкресението,Vazkresenieto,Resurrection
51,чудо,chudo,miracle
51,Солт,Solt,Solo
50,знаят,znayat,they know
50,болка,bolka,pain
50,какви,kakvi,what
50,желания,zhelaniya,desire
50,веднага,vednaga,immediately
50,знаете,znaete,you know
50,духовните,duhovnite,spiritual
50,единствено,edinstveno,only
50,чувство,chuvstvo,feeling
50,Моето,Moeto,My
50,възвисяване,vazvisyavane,exaltation
50,пълнотата,palnotata,fullness
50,Съединените,Saedinenite,Joined
49,изучаваме,izuchavame,
49,Подобно,Podobno,
49,освен,osven,
49,дал,dal,
49,търси,tarsi,
49,пише,pishe,
49,затова,zatova,
49,смърт,smart,
49,та,ta,
49,домове,domove,
49,ангели,angeli,
49,имаше,imashe,
49,необходимо,neobhodimo,
49,действаме,deystvame,
49,чувстват,chuvstvat,
49,собствените,sobstvenite,
49,бъдещето,badeshteto,
49,пророците,prorotsite,
49,пандемия,pandemiya,
48,обща,obshta,
48,обръщане,obrashtane,
48,подкрепа,podkrepa,
48,приемаме,priemame,
48,радваме,radvame,
48,решения,resheniya,
48,показва,pokazva,
48,пак,pak,
48,желаят,zhelayat,
48,Второ,Vtoro,
48,търпение,tarpenie,
48,такъв,takav,
48,напомня,napomnya,
48,заради,zaradi,
48,взаимопомощ,vzaimopomosht,
48,изпълни,izpalni,
48,Господните,Gospodnite,
48,обръщаме,obrashtame,
47,помощта,pomoshtta,
47,искаме,iskame,
47,близо,blizo,
47,полза,polza,
47,станат,stanat,
47,Яков,Yakov,
47,работата,rabotata,
47,Защо,Zashto,
47,свети,sveti,
47,свещенически,sveshtenicheski,
47,изцелява,iztselyava,
47,У.,U.,
47,първите,parvite,
47,Господното,Gospodnoto,
47,говорим,govorim,
47,потенциал,potentsial,
47,сутрин,sutrin,
47,спомняме,spomnyame,
47,първо,parvo,
46,ново,novo,
46,давам,davam,
46,наскоро,naskoro,
46,поканата,pokanata,
46,подобен,podoben,
46,духовен,duhoven,
46,гледаме,gledame,
46,вървим,varvim,
46,мъдрост,madrost,
46,Неделното,Nedelnoto,
46,свещеническа,sveshtenicheska,
46,човека,choveka,
46,група,grupa,
46,април,april,
46,дарове,darove,
46,диспенсация,dispensatsiya,
45,съвършена,savarshena,
45,пророкът,prorokat,
45,Например,Naprimer,
45,такава,takava,
45,ръководител,rakovoditel,
45,сякаш,syakash,
45,нуждаем,nuzhdaem,
45,стремят,stremyat,
45,неговото,negovoto,
45,царството,tsarstvoto,
45,Със,Sas,
45,изпитваме,izpitvame,
45,увеличава,uvelichava,
45,силите,silite,
45,знание,znanie,
45,точка,tochka,
45,вярваме,vyarvame,
45,имам,imam,
45,четири,chetiri,
45,мислите,mislite,
44,дадено,dadeno,
44,Никога,Nikoga,
44,попита,popita,
44,израз,izraz,
44,Бях,Byah,
44,имали,imali,
44,25,25,
44,Лехий,Lehiy,
44,славата,slavata,
44,обичат,obichat,
44,Всичко,Vsichko,
44,24,24,
44,Обществото,Obshtestvoto,
44,Илия,Iliya,
44,нов,nov,
43,перспектива,perspektiva,
43,постоянно,postoyanno,
43,знанието,znanieto,
43,случи,sluchi,
43,По-късно,Po-kasno,
43,Б.,B.,
43,готови,gotovi,
43,доброта,dobrota,
43,проблеми,problemi,
43,научаваме,nauchavame,
43,решение,reshenie,
43,благодарение,blagodarenie,
43,мира,mira,
43,каквито,kakvito,
43,служите,sluzhite,
43,мястото,myastoto,
43,властта,vlastta,
43,видим,vidim,
42,пита,pita,
42,Само,Samo,
42,нямаше,nyamashe,
42,дървото,darvoto,
42,водят,vodyat,
42,четем,chetem,
42,степен,stepen,
42,многото,mnogoto,
42,прости,prosti,
42,каним,kanim,
42,Онези,Onezi,
42,мислим,mislim,
42,силно,silno,
42,район,rayon,
42,отговорности,otgovornosti,
42,вечни,vechni,
42,духовната,duhovnata,
42,вниманието,vnimanieto,
42,очаква,ochakva,
42,избори,izbori,
42,стъпка,stapka,
41,въпроса,vaprosa,
41,променят,promenyat,
41,молитвите,molitvite,
41,физически,fizicheski,
41,мисионер,misioner,
41,върши,varshi,
41,страданията,stradaniyata,
41,велика,velika,
41,Аарон,Aaron,
41,казвам,kazvam,
41,единство,edinstvo,
41,укрепва,ukrepva,
41,греха,greha,
41,закона,zakona,
41,кръста,krasta,
41,кой,koy,
41,отнася,otnasya,
41,милостта,milostta,
41,продължават,prodalzhavat,
41,учението,uchenieto,
40,Всъщност,Vsashtnost,
40,деня,denya,
40,например,naprimer,
40,позволяваме,pozvolyavame,
40,скоро,skoro,
40,мисията,misiyata,
40,Юта,Yuta,
40,очи,ochi,
40,получат,poluchat,
40,Вярата,Vyarata,
40,доверие,doverie,
40,същата,sashtata,
40,личен,lichen,
40,Джон,Dzhon,
40,важен,vazhen,
40,ръката,rakata,
40,предци,predtsi,
40,ръководителите,rakovoditelite,
40,млада,mlada,
40,достъп,dostap,
40,предлага,predlaga,
40,обстоятелствата,obstoyatelstvata,
40,вероятно,veroyatno,
40,книга,kniga,
40,подготвяме,podgotvyame,
40,Моят,Moyat,
40,духовете,duhovete,
40,известно,izvestno,
40,подготвени,podgotveni,
40,мъртвите,martvite,
40,присъствието,prisastvieto,
40,нейните,neynite,
39,книгата,knigata,
39,Нашата,Nashata,
39,наша,nasha,
39,желаем,zhelaem,
39,направим,napravim,
39,внимателно,vnimatelno,
39,Каня,Kanya,
39,Вениамин,Veniamin,
39,види,vidi,
39,ум,um,
39,моят,moyat,
39,дълго,dalgo,
39,разбирането,razbiraneto,
39,Нашите,Nashite,
39,Разбира,Razbira,
39,учениците,uchenitsite,
39,силни,silni,
39,свободата,svobodata,
39,събитие,sabitie,
39,съвършени,savarsheni,
39,подготвят,podgotvyat,
39,Второто,Vtoroto,
39,променяме,promenyame,
39,вода,voda,
39,добрина,dobrina,
39,Великден,Velikden,
39,27,27,
39,урок,urok,
39,култура,kultura,
38,сключваме,sklyuchvame,
38,храмовите,hramovite,
38,служението,sluzhenieto,
38,получават,poluchavat,
38,използва,izpolzva,
38,нуждае,nuzhdae,
38,Вместо,Vmesto,
38,възраст,vazrast,
38,причина,prichina,
38,Често,Chesto,
38,смелост,smelost,
38,учени,ucheni,
38,направил,napravil,
38,Точно,Tochno,
38,никой,nikoy,
38,Господи,Gospodi,
38,Пророка,Proroka,
38,седемдесетници,sedemdesetnitsi,
38,първи,parvi,
38,смисъл,smisal,
38,когото,kogoto,
38,закони,zakoni,
38,преодоляваме,preodolyavame,
38,научи,nauchi,
38,водата,vodata,
38,изпълнен,izpalnen,
38,болката,bolkata,
38,уроци,urotsi,
38,медии,medii,
38,качества,kachestva,
38,поколения,pokoleniya,
38,т,t,
38,благославяни,blagoslavyani,
37,Исайя,Isayya,
37,Синът,Sinat,
37,специално,spetsialno,
37,събранията,sabraniyata,
37,споделят,spodelyat,
37,Имаме,Imame,
37,Във,Vav,
37,напътствие,napatstvie,
37,седмици,sedmitsi,
37,средства,sredstva,
37,повечето,povecheto,
37,дадени,dadeni,
37,възстановената,vazstanovenata,
