WORD COUNT,WORD,TRANSLITERATION,LEMMA,TRANSLATION
31,всяка,vsyaka,всяка,
31,благословии,blagoslovii,благословии,
30,сега,sega,сега,
30,онези,onezi,онзи,
30,1,1,1,
30,себе,sebe,себе,
30,своята,svoyata,своя,
30,някои,nyakoi,някой,
30,времето,vremeto,време,
29,Го,Go,то,
29,Спасител,Spasitel,спасител,
29,2,2,2,
29,Небесен,Nebesen,небесен,
29,път,pat,път,
29,води,vodi,вода,
29,храма,hrama,храм,
29,план,plan,план,
28,обичаме,obichame,обичам,
28,приятели,priyateli,приятел,
28,семейството,semeystvoto,семейство,
28,г.,g.,г.,
28,малко,malko,малко,
28,След,Sled,след,
28,цел,tsel,цел,
28,Божии,Bozhii,божии,
28,живеем,zhiveem,живея,
28,означава,oznachava,означавам,
28,сили,sili,сила,
27,всяко,vsyako,все́ки,
27,Тя,Tya,тя,
27,днес,dnes,днес,
27,моля,molya,моля,
27,Христа,Hrista,христа,
27,просто,prosto,просто,
26,било,bilo,било,
26,мир,mir,мир,
26,целия,tseliya,цял,
26,4,4,4,
26,3,3,3,
26,Божие,Bozhie,божие,
26,където,kadeto,където,
26,радост,radost,радост,
26,Мормон,Mormon,мормон,
26,би,bi,бия,
26,вече,veche,вече,
26,Смит,Smit,смия,
25,мисионери,misioneri,мисионери,
25,усилия,usiliya,усилие,
25,Нека,Neka,нека,
25,трудности,trudnosti,трудност,
25,земята,zemyata,земя,
25,светиите,svetiite,светиите,
25,често,chesto,често,
25,друг,drug,друг,
25,стремим,stremim,стремя,
25,значение,znachenie,значение,
25,заветната,zavetnata,заветната,
25,дома,doma,дома,
24,Моля,Molya,моля,
24,От,Ot,от,
24,А,A,а,
24,ученици,uchenitsi,ученик,
24,Вие,Vie,вие,
24,По,Po,по,
24,над,nad,над,
24,промяна,promyana,промяна,
24,свидетелство,svidetelstvo,свидетелство,
24,Тези,Tezi,теза,
24,Си,Si,съм,
24,място,myasto,място,
24,Книгата,Knigata,книга,
24,заповеди,zapovedi,заповед,
24,сключените,sklyuchenite,сключените,
23,следваме,sledvame,следвам,
23,правим,pravim,правя,
23,баща,bashta,баща,
23,Те,Te,те,
23,сърцата,sartsata,сърцат,
23,заветите,zavetite,заветите,
23,Небесния,Nebesniya,небесния,
22,духовно,duhovno,духовен,
22,мъже,mazhe,мъж,
22,Президент,Prezident,президент,
22,Свидетелствам,Svidetelstvam,свидетелствам,
22,я,ya,тя,
22,можете,mozhete,мога,
22,вечен,vechen,вечен,
22,духовна,duhovna,духовен,
22,Мен,Men,аз,
22,обреди,obredi,обреди,
22,щастие,shtastie,щастие,
22,нито,nito,нито,
21,помагат,pomagat,помагам,
21,сърце,sartse,сърце,
21,няколко,nyakolko,няколко,
21,бяха,byaha,съм,
21,своето,svoeto,свое,
21,младежи,mladezhi,младеж,
21,Защото,Zashtoto,защото,
21,ставаме,stavame,ставам,
21,ти,ti,ти,
21,история,istoriya,история,
21,каза,kaza,кажа,
21,покаяние,pokayanie,покаяние,
21,знае,znae,знам,
21,пророк,prorok,пророк,
20,ръководители,rakovoditeli,ръководител,
20,отново,otnovo,отново,
20,млади,mladi,млад,
20,дело,delo,дело,
20,дали,dali,дали,
20,прави,pravi,права,
20,преживявания,prezhivyavaniya,преживяване,
20,Моята,Moyata,моя,
20,момент,moment,момент,
20,поради,poradi,поради,
20,стане,stane,стана,
20,жена,zhena,жена,
20,сред,sred,сред,
20,вършим,varshim,върша,
20,майка,mayka,майка,
20,слава,slava,слава,
20,истина,istina,истина,
20,Неговия,Negoviya,негов,
20,нашият,nashiyat,нашия,
20,Вениамин,Veniamin,вениамин,
20,спазваме,spazvame,спазвам,
20,нея,neya,нея,
20,наистина,naistina,наистина,
20,Петър,Petar,Петър,
19,конференция,konferentsiya,конференция,
19,никога,nikoga,никога,
19,5,5,5,
19,През,Prez,през,
19,пророка,proroka,пророка,
19,Своя,Svoya,своя,
19,спасение,spasenie,спасение,
19,11,11,11,
19,президентство,prezidentstvo,президентство,
19,внимание,vnimanie,внимание,
19,нищо,nishto,нищо,
19,Негови,Negovi,негови,
19,любовта,lyubovta,любов,
19,светлина,svetlina,светлина,
19,Сатана,Satana,сатана,
18,Всеки,Vseki,всеки,
18,Всички,Vsichki,всички,
18,бъдете,badete,бъда,
18,работа,rabota,работа,
18,вашата,vashata,ваша,
18,Мене,Mene,мене,
18,пътя,patya,път,
18,Своите,Svoite,свои,
18,получаваме,poluchavame,получавам,
18,Ти,Ti,ти,
18,църква,tsarkva,църква,
18,края,kraya,край,
18,знаем,znaem,знам,
18,имат,imat,имам,
18,между,mezhdu,между,
18,7,7,7,
18,връзка,vrazka,връзка,
18,учения,ucheniya,учене,
18,Син,Sin,син,
18,защо,zashto,защо,
18,думи,dumi,дума,
18,добро,dobro,добро,
18,Ще,Shte,ща,
18,Единението,Edinenieto,единение,
18,Божията,Bozhiyata,божията,
18,Може,Mozhe,мога,
18,С,S,с,
18,вашето,vasheto,ваше,
18,страна,strana,страна,
18,вж,vzh,вж,
18,действа,deystva,действам,
17,Мои,Moi,мои,
17,помощ,pomosht,помощ,
17,колко,kolko,колко,
17,Можем,Mozhem,мога,
17,бе,be,съм,
17,децата,detsata,дете,
17,ръцете,ratsete,ръка,
17,покана,pokana,покана,
17,завет,zavet,завет,
17,нужда,nuzhda,нужда,
17,Един,Edin,един,
17,дете,dete,дете,
17,царство,tsarstvo,царство,
17,Както,Kakto,както,
17,Няма,Nyama,няма,
17,Какво,Kakvo,какво,
17,учим,uchim,уча,
17,Божиите,Bozhiite,божиите,
17,тогава,togava,тогава,
17,покажат,pokazhat,покажа,
16,скъпи,skapi,скъп,
16,последователи,posledovateli,последовател,
16,мъж,mazh,мъж,
16,лично,lichno,лично,
16,Въпреки,Vapreki,въпреки,
16,служим,sluzhim,служим,
16,желание,zhelanie,желание,
16,духовни,duhovni,духовен,
16,жените,zhenite,жена,
16,дойде,doyde,дойда,
16,нека,neka,нека,
16,обръщаме,obrashtame,обръщаме,
16,причастието,prichastieto,причастието,
16,Нефи,Nefi,нефи,
16,Отца,Ottsa,отца,
16,ученията,ucheniyata,учене,
16,истината,istinata,истина,
16,идва,idva,ида,
16,против,protiv,против,
16,голяма,golyama,голям,
16,благословиите,blagosloviite,благословиите,
16,словата,slovata,слово,
16,различни,razlichni,различен,
16,тъй,tay,тъй,
16,направи,napravi,направа,
16,точно,tochno,точно,
16,обстоятелства,obstoyatelstva,обстоятелство,
16,става,stava,става,
16,Тази,Tazi,тази,
16,Учение,Uchenie,учение,
16,обича,obicha,обичам,
16,Затова,Zatova,затова,
16,учение,uchenie,учение,
16,Алма,Alma,алма,
16,Моисей,Moisey,моисей,
16,собствените,sobstvenite,собствен,
16,инерция,inertsiya,инерция,
15,споделяме,spodelyame,споделяме,
15,Израил,Izrail,израил,
15,въпрос,vapros,въпрос,
15,желае,zhelae,желая,
15,Скъпи,Skapi,скъп,
15,6,6,6,
15,начини,nachini,начин,
15,способността,sposobnostta,способност,
15,цялото,tsyaloto,цял,
15,старейшина,stareyshina,старейшина,
15,даде,dade,дам,
15,там,tam,там,
15,влияние,vliyanie,влияние,
15,словото,slovoto,слово,
15,Ми,Mi,ми,
15,животът,zhivotat,живот,
15,възвисяване,vazvisyavane,възвисяване,
15,въпреки,vapreki,въпреки,
15,понякога,ponyakoga,понякога,
15,училище,uchilishte,училище,
15,Божието,Bozhieto,Божи,
15,Ето,Eto,ето,
15,добри,dobri,добро,
15,техните,tehnite,техни,
15,Духа,Duha,духам,
15,напълно,napalno,напълно,
15,спазват,spazvat,спазвам,
15,На,Na,на,
15,Бога,Boga,бог,
15,апостоли,apostoli,апостол,
15,небесата,nebesata,небе,
15,Първото,Parvoto,първи,
15,Господа,Gospoda,господ,
15,елате,elate,ела,
15,три,tri,три,
15,покайваме,pokayvame,покайваме,
15,дойдат,doydat,дойда,
15,Йосиф,Yosif,йосиф,
15,стадото,stadoto,стадото,
14,надежда,nadezhda,надежда,
14,младите,mladite,млад,
14,промени,promeni,променя,
14,мисията,misiyata,мисия,
14,бях,byah,съм,
14,говори,govori,говор,
14,вашите,vashite,ваши,
14,20,20,20,
14,Нашият,Nashiyat,нашия,
14,Изкупител,Izkupitel,изкупител,
14,молитва,molitva,молитва,
14,синове,sinove,син,
14,важни,vazhni,важен,
14,влиянието,vliyanieto,влияние,
14,изучаване,izuchavane,изучаване,
14,биват,bivat,бивам,
14,сигурност,sigurnost,сигурност,
14,противника,protivnika,противник,
14,дъщери,dashteri,дъщеря,
14,случва,sluchva,случвам,
14,Ме,Me,аз,
14,жертва,zhertva,жертва,
14,брат,brat,брат,
14,Как,Kak,как,
14,дом,dom,дом,
14,воля,volya,воля,
14,същия,sashtiya,същи,
14,Дори,Dori,дори,
14,смирено,smireno,смирен,
14,споделя,spodelya,споделя,
14,две,dve,две,
14,правите,pravite,права,
14,сметка,smetka,сметка,
14,вечна,vechna,вечен,
14,Следвайте,Sledvayte,следвайте,
13,Господната,Gospodnata,господната,
13,служи,sluzhi,служа,
13,избор,izbor,избор,
13,относно,otnosno,относно,
13,включително,vklyuchitelno,включително,
13,служат,sluzhat,служа,
13,пример,primer,пример,
13,вечни,vechni,вечен,
13,9,9,9,
13,Младите,Mladite,млад,
13,То,To,то,
13,12,12,12,
13,14,14,14,
13,15,15,15,
13,17,17,17,
13,благодат,blagodat,благодат,
13,мои,moi,мои,
13,дела,dela,дело,
13,23,23,23,
13,вечно,vechno,вечен,
13,обещания,obeshtaniya,обещание,
13,верни,verni,верен,
13,плана,plana,план,
13,то,to,то,
13,Чрез,Chrez,чрез,
13,При,Pri,при,
13,Една,Edna,една,
13,начина,nachina,начин,
13,нещата,neshtata,нещо,
13,слова,slova,слово,
13,Сега,Sega,сега,
13,13,13,13,
13,чувства,chuvstva,чувствам,
13,започва,zapochva,започвам,
13,възможно,vazmozhno,възможно,
13,разбиране,razbirane,разбирам,
13,отколкото,otkolkoto,отколкото,
13,Божия,Bozhiya,божия,
13,Единение,Edinenie,единение,
13,Своята,Svoyata,своя,
13,крайна,krayna,краен,
13,взаимоотношения,vzaimootnosheniya,взаимоотношение,
12,добре,dobre,добре,
12,общата,obshtata,общ,
12,трудностите,trudnostite,трудност,
12,отговори,otgovori,отговор,
12,времена,vremena,време,
12,съдба,sadba,съдба,
12,имате,imate,имам,
12,мисионер,misioner,мисионер,
12,Небесният,Nebesniyat,небесен,
12,някой,nyakoy,някой,
12,момента,momenta,момент,
12,сключваме,sklyuchvame,сключваме,
12,чудеса,chudesa,чудо,
12,16,16,16,
12,станем,stanem,стана,
12,дванадесетте,dvanadesette,дванадесет,
12,продължаваме,prodalzhavame,продължавам,
12,свещени,sveshteni,свещен,
12,у,u,у,
12,пророци,prorotsi,пророци,
12,Този,Tozi,този,
12,заявява,zayavyava,заявявам,
12,изглежда,izglezhda,изглежда,
12,ръка,raka,ръка,
12,Трябва,Tryabva,трябва,
12,бива,biva,бива,
12,променя,promenya,променя,
12,чувство,chuvstvo,чувство,
12,служители,sluzhiteli,служител,
12,получим,poluchim,получа,
12,отношение,otnoshenie,отношение,
12,изисква,iziskva,изисквам,
12,обръщане,obrashtane,обръщане,
11,кани,kani,кана,
11,откровение,otkrovenie,откровение,
11,моята,moyata,моя,
11,Преди,Predi,преди,
11,почти,pochti,почти,
11,поканата,pokanata,покана,
11,радостта,radostta,радост,
11,моя,moya,мой,
11,син,sin,син,
11,семейства,semeystva,семейство,
11,следват,sledvat,следвам,
11,силите,silite,сила,
11,18,18,18,
11,мога,moga,мога,
11,здраво,zdravo,здрав,
11,Вярата,Vyarata,вяра,
11,благословени,blagosloveni,благословя,
11,почитаме,pochitame,почитам,
11,същност,sashtnost,същност,
11,служение,sluzhenie,служение,
11,особено,osobeno,особено,
11,свидетелства,svidetelstva,свидетелствам,
11,включва,vklyuchva,включвам,
11,обещава,obeshtava,обещавам,
11,Без,Bez,без,
11,Макар,Makar,макар,
11,независимо,nezavisimo,независим,
11,Юда,Yuda,юда,
11,изпитваме,izpitvame,изпитвам,
11,действия,deystviya,действие,
11,Подобно,Podobno,подобно,
11,А.,A.,а.,
11,дъщеря,dashterya,дъщеря,
11,любящ,lyubyasht,любящ,
11,следва,sledva,следвам,
11,страни,strani,страна,
11,семействата,semeystvata,семейство,
11,дар,dar,дар,
11,насилие,nasilie,насилие,
11,благославяни,blagoslavyani,благославям,
11,сестра,sestra,сестра,
11,човеци,chovetsi,човек,
11,истини,istini,истина,
11,Пол,Pol,пол,
10,Братя,Bratya,брат,
10,млад,mlad,млад,
10,възможност,vazmozhnost,възможност,
10,възстановеното,vazstanovenoto,възстановеното,
10,получи,poluchi,получа,
10,святото,svyatoto,святото,
10,ясно,yasno,ясно,
10,била,bila,било,
10,имам,imam,имам,
10,служите,sluzhite,служите,
10,доверие,doverie,доверие,
10,10,10,10,
10,говорят,govoryat,говоря,
10,процес,protses,процес,
10,благослови,blagoslovi,благословя,
10,добър,dobar,добър,
10,около,okolo,около,
10,по-късно,po-kasno,по-късно,
10,обредите,obredite,обредите,
10,Някои,Nyakoi,някой,
10,Обществото,Obshtestvoto,общество,
10,взаимопомощ,vzaimopomosht,взаимопомощ,
10,19,19,19,
10,21,21,21,
10,Своето,Svoeto,свое,
10,божествена,bozhestvena,божествен,
10,силни,silni,силен,
10,обич,obich,обич,
10,делото,deloto,дело,
10,благодарност,blagodarnost,благодарност,
10,цар,tsar,цар,
10,член,chlen,член,
10,кой,koy,кой,
10,изучаваме,izuchavame,изучаваме,
10,участваме,uchastvame,участвам,
10,позволява,pozvolyava,позволявам,
10,съпругата,saprugata,съпруга,
10,човеците,chovetsite,човеците,
10,ето,eto,ето,
10,греховете,grehovete,грях,
10,кои,koi,кой,
10,двете,dvete,две,
10,душите,dushite,душа,
10,смъртта,smartta,смърт,
10,вид,vid,вид,
10,завесата,zavesata,завеса,
10,Във,Vav,във,
10,покаянието,pokayanieto,покаяние,
10,променят,promenyat,променям,
10,Или,Ili,или,
10,закона,zakona,закон,
10,поръчение,porachenie,поръчение,
10,равновесие,ravnovesie,равновесие,
9,Също,Sashto,също,
9,цялата,tsyalata,цял,
9,каквото,kakvoto,каквото,
9,решение,reshenie,решение,
9,отговор,otgovor,отговор,
9,мира,mira,мир,
9,роля,rolya,роля,
9,събирането,sabiraneto,събиране,
9,знаете,znaete,знам,
9,Светият,Svetiyat,свети,
9,благославя,blagoslavya,благославям,
9,възможността,vazmozhnostta,възможност,
9,къде,kade,къде,
9,получите,poluchite,получа,
9,състояние,sastoyanie,състояние,
9,виждаме,vizhdame,виждам,
9,моите,moite,мои,
9,тяхната,tyahnata,тяхна,
9,познава,poznava,познавам,
9,Можете,Mozhete,мога,
9,Л.,L.,л.,
9,послание,poslanie,послание,
9,стана,stana,стана,
9,веднага,vednaga,веднага,
9,достойни,dostoyni,достоен,
9,лесно,lesno,лесно,
9,души,dushi,душа,
9,26,26,26,
9,Наскоро,Naskoro,наскоро,
9,събрания,sabraniya,събрания,
9,казал,kazal,кажа,
9,спомняме,spomnyame,спомняме,
9,нейните,neynite,нейни,
9,приятел,priyatel,приятел,
9,знам,znam,знам,
9,членовете,chlenovete,член,
9,учението,uchenieto,учение,
9,Нашата,Nashata,наша,
9,предци,predtsi,предци,
9,нуждаем,nuzhdaem,нуждая,
9,изцеление,iztselenie,изцеление,
9,заповедите,zapovedite,заповед,
9,подобни,podobni,подобен,
9,заповед,zapoved,заповед,
9,всичките,vsichkite,всички,
9,Кворума,Kvoruma,кворума,
9,израз,izraz,израз,
9,укрепва,ukrepva,укрепва,
9,земния,zemniya,земния,
9,предлага,predlaga,предлагам,
9,Тогава,Togava,тогава,
9,първо,parvo,първи,
9,Със,Sas,със,
9,Йоан,Yoan,йоан,
9,променяме,promenyame,променяме,
9,25,25,25,
9,медии,medii,медия,
9,вярвания,vyarvaniya,вярване,
9,продължава,prodalzhava,продължавам,
9,пророците,prorotsite,пророците,
9,Първо,Parvo,първи,
9,свободата,svobodata,свобода,
9,Всъщност,Vsashtnost,всъщност,
9,волята,volyata,воля,
9,искрено,iskreno,искрен,
9,закон,zakon,закон,
9,светии,svetii,светии,
9,дух,duh,дух,
9,Има,Ima,имам,
9,четем,chetem,чета,
9,бързо,barzo,бързо,
9,искал,iskal,искам,
9,когото,kogoto,който,
9,Господния,Gospodniya,господния,
9,разбираме,razbirame,разбирам,
9,година,godina,година,
9,живее,zhivee,живея,
9,8,8,8,
9,искаме,iskame,искам,
9,Старейшина,Stareyshina,старейшина,
9,проява,proyava,проява,
9,по-малко,po-malko,по-малко,
9,твърде,tvarde,твърде,
9,По-късно,Po-kasno,по-късно,
9,изцяло,iztsyalo,изцяло,
9,народ,narod,народ,
9,ръководителите,rakovoditelite,ръководител,
9,важно,vazhno,важен,
9,смело,smelo,смел,
9,помагаме,pomagame,помагам,
9,тук,tuk,тук,
9,истинско,istinsko,истински,
9,мъдрост,madrost,мъдрост,
9,планът,planat,план,
9,помогне,pomogne,помогна,
9,започнал,zapochnal,започна,
9,очакваме,ochakvame,очаквам,
9,неговите,negovite,негови,
9,Йов,Yov,йов,
9,Така,Taka,така,
9,овцете,ovtsete,овца,
8,впечатления,vpechatleniya,впечатля,
8,светът,svetat,свят,
8,видели,videli,видя,
8,правят,pravyat,правя,
8,големи,golemi,големя,
8,необходимо,neobhodimo,необходим,
8,Днес,Dnes,днес,
8,помагате,pomagate,помагам,
8,благословия,blagosloviya,благословия,
8,духовната,duhovnata,духовната,
8,свързани,svarzani,свързан,
8,отида,otida,отида,
8,служа,sluzha,служа,
8,мисионерска,misionerska,мисионерска,
8,бъда,bada,бъда,
8,говоря,govorya,говоря,
8,глас,glas,глас,
8,възрастта,vazrastta,възраст,
8,самите,samite,сам,
8,възраст,vazrast,възраст,
8,млада,mlada,млад,
8,например,naprimer,например,
8,направя,napravya,направя,
8,места,mesta,место,
8,дават,davat,давам,
8,дал,dal,дам,
8,неделя,nedelya,неделя,
8,страдания,stradaniya,страдание,
8,вижда,vizhda,виждам,
8,смирени,smireni,смирени,
8,душата,dushata,душа,
8,такъв,takav,такъв,
8,способност,sposobnost,способност,
8,принцип,printsip,принцип,
8,действаме,deystvame,действам,
8,идваме,idvame,идвам,
8,жив,zhiv,жив,
8,възстановената,vazstanovenata,възстановената,
8,посока,posoka,посока,
8,изкушенията,izkusheniyata,изкушенията,
8,27,27,27,
8,28,28,28,
8,социалните,sotsialnite,социален,
8,Божий,Bozhiy,божий,
8,избираме,izbirame,избирам,
8,научаваме,nauchavame,научаваме,
8,стремят,stremyat,стремя,
8,наши,nashi,наши,
8,цели,tseli,цел,
8,вместо,vmesto,вместо,
8,мнозина,mnozina,мнозина,
8,четири,chetiri,четири,
8,нейния,neyniya,неин,
8,преживяване,prezhivyavane,преживявам,
8,Господи,Gospodi,го́спод,
8,целта,tselta,цел,
8,достъп,dostap,достъп,
8,кръстен,krasten,кръстен,
8,основа,osnova,основа,
8,възрастни,vazrastni,възрастен,
8,променим,promenim,променя,
8,моли,moli,моля,
8,нужно,nuzhno,нужен,
8,чувствате,chuvstvate,чувствате,
8,Предложено,Predlozheno,предложен,
8,подкрепим,podkrepim,подкрепим,
8,съветничка,savetnichka,съветничка,
8,следните,slednite,следен,
8,правила,pravila,правило,
8,въпроси,vaprosi,въпрос,
8,поколения,pokoleniya,поколение,
8,вечността,vechnostta,вечност,
8,Разбира,Razbira,разбирам,
8,някога,nyakoga,някога,
8,станат,stanat,стана,
8,истории,istorii,история,
8,друго,drugo,друг,
8,чудото,chudoto,чудо,
8,знанието,znanieto,знание,
8,кара,kara,карам,
8,усилията,usiliyata,усилие,
8,учат,uchat,уча,
8,Стария,Stariya,стар,
8,каним,kanim,каним,
8,сесия,sesiya,сесия,
8,верните,vernite,верен,
8,религията,religiyata,религия,
8,религиозната,religioznata,религиозен,
8,Уес,Ues,уес,
7,моменти,momenti,момент,
7,грижи,grizhi,грижа,
7,събиране,sabirane,събиране,
7,събитие,sabitie,събитие,
7,личен,lichen,личен,
7,ума,uma,ум,
7,службата,sluzhbata,служба,
7,никой,nikoy,никой,
7,резултат,rezultat,резултат,
7,назад,nazad,назад,
7,пълновременна,palnovremenna,пълновременна,
7,съпруг,saprug,съпруг,
7,отговорности,otgovornosti,отговорност,
7,задачи,zadachi,задача,
7,пет,pet,пет,
7,познават,poznavat,познавам,
7,обичат,obichat,обичам,
7,трудни,trudni,труден,
7,У.,U.,у.,
7,Кимбъл,Kimbal,кимбъл,
7,очаква,ochakva,очаквам,
7,свои,svoi,свои,
7,епископ,episkop,епископ,
7,откриете,otkriete,открия,
7,Възстановяването,Vazstanovyavaneto,възстановяване,
7,сключили,sklyuchili,сключа,
7,завинаги,zavinagi,завинаги,
7,оръдие,oradie,оръдие,
7,младежите,mladezhite,младеж,
7,готов,gotov,готов,
7,знание,znanie,знание,
7,укрепваме,ukrepvame,укрепваме,
7,Понякога,Ponyakoga,понякога,
7,милост,milost,милост,
7,множество,mnozhestvo,множество,
7,изцели,iztseli,изцели,
7,изцелени,iztseleni,изцелени,
7,страданията,stradaniyata,страдание,
7,изцелява,iztselyava,изцелява,
7,извърши,izvarshi,извърша,
7,давам,davam,давам,
7,24,24,24,
7,подчиняваме,podchinyavame,подчинявам,
7,описва,opisva,описвам,
7,Например,Naprimer,например,
7,съсредоточаваме,sasredotochavame,съсредоточаваме,
7,Второ,Vtoro,втори,
7,държи,darzhi,държа,
7,огнените,ognenite,огнените,
7,стрели,streli,стрела,
7,Всичко,Vsichko,всичко,
7,22,22,22,
7,вярваме,vyarvame,вярвам,
7,изпитания,izpitaniya,изпитам,
7,дарове,darove,дар,
7,вярват,vyarvat,вярвам,
7,царството,tsarstvoto,царство,
7,уважение,uvazhenie,уважение,
7,известно,izvestno,известно,
7,чета,cheta,чета,
7,мисли,misli,мисля,
7,възлюбени,vazlyubeni,възлюбени,
7,подготвя,podgotvya,подготвя,
7,мислите,mislite,мисля,
7,Татко,Tatko,татко,
7,ходи,hodi,ходя,
7,имаше,imashe,имам,
7,голямата,golyamata,голям,
7,дърво,darvo,дърво,
7,намерение,namerenie,намерение,
7,пътят,patyat,път,
7,малка,malka,малък,
7,приемаме,priemame,приемам,
7,ръце,ratse,ръка,
7,непоклатими,nepoklatimi,непоклатим,
7,пътуване,patuvane,пътуване,
7,иска,iska,искам,
7,Само,Samo,само,
7,вярно,vyarno,вярно,
7,изпълни,izpalni,изпълня,
7,Духът,Duhat,дух,
7,бури,buri,буря,
7,послания,poslaniya,послания,
7,собствената,sobstvenata,собствен,
7,слабост,slabost,слабост,
7,чувстваме,chuvstvame,чувствам,
7,моето,moeto,мое,
7,Елате,Elate,ела,
7,Онези,Onezi,онзи,
7,Х.,H.,х.,
7,Гонг,Gong,гонг,
